1, 72
10, 65.1
20, 58.7
30, 52.9
40, 46.8
50, 41.6
60.1, 36.1
63.1, 34.1
64.7, 32
69.8, 31.4
74.7, 31.1
79.8, 30.3
89.6, 29.5
100.1, 28.4
124.2, 27.3
149.1, 27.6
174.7, 26.8
200.1, 25.1
